obligation	blocks	adsmtc	wall_ms	goal	z3_fixture	lusmt_fixture	class	bail_reason
datatypes-match-2/ob05	9	unknown	3	goal: `tmp%1` = `datatypes_match_2!Task./Task/status`(`%Poly%datatypes_match_2!Task.`(`Pol	z3=6v/0e	lusmt=3v/3e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_2!Status./Running/?0`
datatypes-match-2/ob06	9	unknown	3	goal: true	z3=6v/0e	lusmt=3v/3e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_2!Status./Running/?0`
datatypes-match-2/ob07	9	unknown	3	goal: (`is-datatypes_match_2!MaybeStatus./Nothing`(`m!`) ==> `%%switch_label%%0`) and (not	z3=6v/0e	lusmt=3v/3e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_2!Status./Running/?0`
datatypes-match-2/ob08	9	unknown	3	goal: `r!` = (if `is-datatypes_match_2!Status./Idle`(`s!`) then 0 else if `is-datatypes_ma	z3=6v/0e	lusmt=3v/3e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_2!Status./Running/?0`
datatypes-match-2/ob09	9	unknown	2	goal: true	z3=6v/0e	lusmt=3v/3e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_2!Status./Running/?0`
datatypes-match-3/ob01	16	unknown	3	goal: `decrease%init0` = `%Poly%datatypes_match_3!Expr.`(`e!`) ==> (`is-datatypes_match_3!	z3=9v/0e	lusmt=2v/7e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_3!Expr./Lit/?0`
datatypes-match-3/ob02	16	unknown	2	goal: true	z3=9v/0e	lusmt=2v/7e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_3!Expr./Lit/?0`
datatypes-match-3/ob03	16	unknown	3	goal: `decrease%init0` = `%Poly%datatypes_match_3!Expr.`(`e!`) ==> (`is-datatypes_match_3!	z3=9v/0e	lusmt=2v/7e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_3!Expr./Lit/?0`
datatypes-match-3/ob04	16	unknown	3	goal: true	z3=9v/0e	lusmt=2v/7e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_3!Expr./Lit/?0`
datatypes-match-3/ob05	16	unknown	2	goal: `decrease%init0` = `%Poly%datatypes_match_3!Expr.`(`e!`) ==> (`is-datatypes_match_3!	z3=9v/0e	lusmt=2v/7e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_3!Expr./Lit/?0`
datatypes-match-3/ob06	16	unknown	4	goal: true	z3=9v/0e	lusmt=2v/7e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_3!Expr./Lit/?0`
datatypes-match-3/ob07	16	unknown	3	goal: fuel_bool(`fuel%datatypes_match_3!eval.`) ==> (exists `fuel%`: Fuel. `fuel_nat%datat	z3=9v/0e	lusmt=2v/7e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_3!Expr./Lit/?0`
datatypes-match-3/ob08	16	unknown	3	goal: true	z3=9v/0e	lusmt=2v/7e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_3!Expr./Lit/?0`
datatypes-match-3/ob09	16	unknown	3	goal: `tmp%1` = (`datatypes_match_3!eval.?`(`Poly%datatypes_match_3!Expr.`(`datatypes_matc	z3=9v/0e	lusmt=2v/7e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_3!Expr./Lit/?0`
datatypes-match-3/ob10	16	unknown	3	goal: true	z3=9v/0e	lusmt=2v/7e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_3!Expr./Lit/?0`
datatypes-match-3/ob11	16	unknown	3	goal: `datatypes_match_3!depth.?`(`Poly%datatypes_match_3!Expr.`(`datatypes_match_3!Expr./	z3=9v/0e	lusmt=2v/7e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_3!Expr./Lit/?0`
datatypes-match-3/ob12	16	unknown	3	goal: true	z3=9v/0e	lusmt=2v/7e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_3!Expr./Lit/?0`
datatypes-match-3/ob13	16	unknown	3	goal: `decrease%init0` = `e!` ==> (`is-datatypes_match_3!Expr./Lit`(`e!`) ==> `%%switch_la	z3=9v/0e	lusmt=2v/7e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_3!Expr./Lit/?0`
datatypes-match-3/ob14	16	unknown	3	goal: (`is-datatypes_match_3!Expr./Lit`(`e!`) ==> `%%switch_label%%0`) and (not `is-dataty	z3=9v/0e	lusmt=2v/7e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_3!Expr./Lit/?0`
datatypes-match-3/ob15	16	unknown	3	goal: `tmp%1` = `datatypes_match_3!Expr./Add`(`%Poly%datatypes_match_3!Expr.`(`Poly%dataty	z3=9v/0e	lusmt=2v/7e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_3!Expr./Lit/?0`
datatypes-match-3/ob16	16	unknown	2	goal: true	z3=9v/0e	lusmt=2v/7e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_3!Expr./Lit/?0`
divmod-real-1/ob01	10	unknown	3322	goal: let `tmp%%$` = 0 in let `tmp%%$1` = EucMod(`x!`, `n!`) in let `tmp%%$2` = `n!` in `t	z3=6v/0e	lusmt=2v/4e	solver-unknown	-
divmod-real-1/ob02	10	unsat	8	goal: true	z3=6v/0e	lusmt=2v/4e	verified	-
divmod-real-1/ob03	10	unsat	441	goal: `req%vstd!arithmetic.div_mod.lemma_fundamental_div_mod.`(`x!`, `n!`) and (`ens%vstd!	z3=6v/0e	lusmt=2v/4e	verified	-
divmod-real-1/ob04	10	unsat	556	goal: not (`n!` = 0) and (not (`n!` = 0) ==> `r!` = uClip(64, EucMod(`x!`, `n!`)) ==> `r!`	z3=6v/0e	lusmt=2v/4e	verified	-
divmod-real-1/ob05	10	unsat	7	goal: true	z3=6v/0e	lusmt=2v/4e	verified	-
divmod-real-1/ob06	10	unknown	3335	goal: `tmp%1` = (EucMod(`x!`, 7) = `x!`) ==> `tmp%1` and (`tmp%1` ==> EucMod(`x!`, 7) = `x	z3=6v/0e	lusmt=2v/4e	solver-unknown	-
divmod-real-1/ob07	10	unsat	7	goal: true	z3=6v/0e	lusmt=2v/4e	verified	-
divmod-real-1/ob08	10	unknown	3109	goal: `req%vstd!arithmetic.div_mod.lemma_fundamental_div_mod.`(`x!`, `n!`) and (`ens%vstd!	z3=6v/0e	lusmt=2v/4e	solver-unknown	-
divmod-real-1/ob09	10	unsat	8	goal: true	z3=6v/0e	lusmt=2v/4e	verified	-
divmod-real-1/ob10	10	unsat	7	goal: true	z3=6v/0e	lusmt=2v/4e	verified	-
divmod-real-2/ob01	10	timeout	90847	goal: `divmod_real_2!is_even.?`(I(Add(`x!`, 2)))	z3=7v/0e	lusmt=4v/3e	solver-timeout	-
divmod-real-2/ob02	10	unsat	9	goal: true	z3=7v/0e	lusmt=4v/3e	verified	-
divmod-real-2/ob03	10	unknown	11978	goal: `req%vstd!arithmetic.div_mod.lemma_mod_multiples_basic.`(`k!`, 2) and (`ens%vstd!ari	z3=7v/0e	lusmt=4v/3e	solver-unknown	-
divmod-real-2/ob04	10	unsat	8	goal: true	z3=7v/0e	lusmt=4v/3e	verified	-
divmod-real-2/ob05	10	unknown	3342	goal: `req%vstd!arithmetic.div_mod.lemma_add_mod_noop.`(`a!`, `b!`, 2) and (`ens%vstd!arit	z3=7v/0e	lusmt=4v/3e	solver-unknown	-
divmod-real-2/ob06	10	unsat	7	goal: true	z3=7v/0e	lusmt=4v/3e	verified	-
divmod-real-2/ob07	10	unknown	5833	goal: (has_type(`k@`, INT) ==> `ens%divmod_real_2!lemma_double_is_even.`(`%I`(`k@`)) ==> `	z3=7v/0e	lusmt=4v/3e	solver-unknown	-
divmod-real-2/ob08	10	unsat	932	goal: not (2 = 0) and (not (2 = 0) ==> `b!` = (uClip(64, EucMod(`x!`, 2)) = 0) ==> `b!` = 	z3=7v/0e	lusmt=4v/3e	verified	-
divmod-real-2/ob09	10	unknown	4226	goal: `req%divmod_real_2!lemma_even_plus_two.`(`x!`) and (`ens%divmod_real_2!lemma_even_pl	z3=7v/0e	lusmt=4v/3e	solver-unknown	-
divmod-real-2/ob10	10	unsat	8	goal: true	z3=7v/0e	lusmt=4v/3e	verified	-
divmod-real-3/ob01	8	unknown	3	goal: uClip(64, `x!`) = `x!`	z3=7v/0e	lusmt=6v/1e	stage-bail	elaborate failed: unsupported: unknown function symbol `divmod_real_3!DivModResult./DivModResult/?quotient`
divmod-real-3/ob02	8	unknown	3	goal: `n!` = `n!` and `n!` >= 0	z3=7v/0e	lusmt=6v/1e	stage-bail	elaborate failed: unsupported: unknown function symbol `divmod_real_3!DivModResult./DivModResult/?quotient`
divmod-real-3/ob03	8	unknown	2	goal: `r!` = uClip(64, `x!`) ==> iClip(64, `r!`) = `x!` and `r!` = `x!`	z3=7v/0e	lusmt=6v/1e	stage-bail	elaborate failed: unsupported: unknown function symbol `divmod_real_3!DivModResult./DivModResult/?quotient`
divmod-real-3/ob04	8	unknown	3	goal: not (2 = 0) and (not (2 = 0) ==> `r@` = uClip(64, EucDiv(`x!`, 2)) ==> (`req%vstd!ar	z3=7v/0e	lusmt=6v/1e	stage-bail	elaborate failed: unsupported: unknown function symbol `divmod_real_3!DivModResult./DivModResult/?quotient`
divmod-real-3/ob05	8	unknown	2	goal: EucMod(`x!`, `n!`) = EucMod(`x!`, `n!`) and EucMod(`x!`, `n!`) >= 0	z3=7v/0e	lusmt=6v/1e	stage-bail	elaborate failed: unsupported: unknown function symbol `divmod_real_3!DivModResult./DivModResult/?quotient`
divmod-real-3/ob06	8	unknown	2	goal: `req%vstd!arithmetic.div_mod.lemma_fundamental_div_mod.`(`x!`, `n!`) and (`ens%vstd!	z3=7v/0e	lusmt=6v/1e	stage-bail	elaborate failed: unsupported: unknown function symbol `divmod_real_3!DivModResult./DivModResult/?quotient`
divmod-real-3/ob07	8	unknown	2	goal: true	z3=7v/0e	lusmt=6v/1e	stage-bail	elaborate failed: unsupported: unknown function symbol `divmod_real_3!DivModResult./DivModResult/?quotient`
divmod-real-3/ob08	8	unknown	2	goal: true	z3=7v/0e	lusmt=6v/1e	stage-bail	elaborate failed: unsupported: unknown function symbol `divmod_real_3!DivModResult./DivModResult/?quotient`
fuel-recursion-1/ob01	14	unknown	2107	goal: `decrease%init0` = `%I`(`n!`) ==> (`%I`(`n!`) = 0 ==> `tmp%4` = 0 ==> `%%switch_labe	z3=8v/0e	lusmt=2v/6e	solver-unknown	-
fuel-recursion-1/ob02	14	unsat	7	goal: true	z3=8v/0e	lusmt=2v/6e	verified	-
fuel-recursion-1/ob03	14	unsat	1118	goal: `fuel_recursion_1!sum_to.?`(I(0)) = 0	z3=8v/0e	lusmt=2v/6e	verified	-
fuel-recursion-1/ob04	14	unknown	993	goal: fuel_bool(`fuel%fuel_recursion_1!sum_to.`) ==> (exists `fuel%`: Fuel. `fuel_nat%fuel	z3=8v/0e	lusmt=2v/6e	solver-unknown	-
