obligation	blocks	adsmtc	wall_ms	goal	z3_fixture	lusmt_fixture	class	bail_reason
fuel-recursion-3/ob09	18	unsat	7	goal: true	z3=10v/0e	lusmt=2v/8e	verified	-
fuel-recursion-3/ob10	18	unknown	3101	goal: `decrease%init0` = `n!` ==> (`n!` > 0 ==> `tmp%1` = nClip(Sub(`n!`, 1)) ==> check_de	z3=10v/0e	lusmt=2v/8e	solver-unknown	-
fuel-recursion-3/ob11	18	unsat	8	goal: (`n!` > 0 ==> `tmp%1` = nClip(Sub(`n!`, 1)) ==> `ens%fuel_recursion_3!lemma_even_odd	z3=10v/0e	lusmt=2v/8e	verified	-
fuel-recursion-3/ob12	18	unknown	620	goal: `fuel_recursion_3!is_even.?`(I(nClip(Add(`n!`, 2)))) = `fuel_recursion_3!is_even.?`(	z3=10v/0e	lusmt=2v/8e	solver-unknown	-
fuel-recursion-3/ob13	18	unsat	7	goal: true	z3=10v/0e	lusmt=2v/8e	verified	-
fuel-recursion-3/ob14	18	unknown	3048	goal: `decrease%init0` = `n!` ==> (`n!` > 0 ==> `tmp%1` = nClip(Sub(`n!`, 1)) ==> check_de	z3=10v/0e	lusmt=2v/8e	solver-unknown	-
fuel-recursion-3/ob15	18	unsat	8	goal: (`n!` > 0 ==> `tmp%1` = nClip(Sub(`n!`, 1)) ==> `ens%fuel_recursion_3!lemma_even_iff	z3=10v/0e	lusmt=2v/8e	verified	-
fuel-recursion-3/ob16	18	unknown	3623	goal: `decrease%init0` = `n!` ==> (`n!` = 0 ==> `tmp%3` = true ==> `%%switch_label%%0`) an	z3=10v/0e	lusmt=2v/8e	solver-unknown	-
fuel-recursion-3/ob17	18	unsat	8	goal: (`n!` = 0 ==> `tmp%3` = true ==> `%%switch_label%%0`) and (not (`n!` = 0) ==> uInv(6	z3=10v/0e	lusmt=2v/8e	verified	-
fuel-recursion-3/ob18	18	unsat	8	goal: true	z3=10v/0e	lusmt=2v/8e	verified	-
linear-euf-1/ob01	7	unsat	8	goal: `linear_euf_1!f.?`(I(`a!`)) = `linear_euf_1!f.?`(I(`b!`))	z3=6v/0e	lusmt=5v/1e	verified	-
linear-euf-1/ob02	7	unsat	572	goal: `req%linear_euf_1!lemma_f_congruence.`(`a!`, `b!`) and (`ens%linear_euf_1!lemma_f_co	z3=6v/0e	lusmt=5v/1e	verified	-
linear-euf-1/ob03	7	unsat	440	goal: `tmp%1` = (Add(`a!`, 1) <= `c!`) ==> `tmp%1` and (`tmp%1` ==> `tmp%2` = (Add(`a!`, 3	z3=6v/0e	lusmt=5v/1e	verified	-
linear-euf-1/ob04	7	unsat	9	goal: not (`a!` = `b!`)	z3=6v/0e	lusmt=5v/1e	verified	-
linear-euf-1/ob05	7	unknown	2203	goal: Add(`linear_euf_1!f.?`(I(`y!`)), 5) >= 15	z3=6v/0e	lusmt=5v/1e	solver-unknown	-
linear-euf-1/ob06	7	unsat	7	goal: true	z3=6v/0e	lusmt=5v/1e	verified	-
linear-euf-1/ob07	7	unsat	7	goal: true	z3=6v/0e	lusmt=5v/1e	verified	-
linear-euf-2/ob01	10	unknown	1470	goal: `tmp%1` = (0 = `linear_euf_2!double.?`(I(0))) ==> `tmp%1` and (`tmp%1` ==> `linear_e	z3=6v/0e	lusmt=2v/4e	solver-unknown	-
linear-euf-2/ob02	10	unsat	8	goal: true	z3=6v/0e	lusmt=2v/4e	verified	-
linear-euf-2/ob03	10	unknown	4803	goal: `ka@` = `%I`(as_type(`%%choose%%0`(INT, `a!`), INT)) ==> `kb@` = `%I`(as_type(`%%cho	z3=6v/0e	lusmt=2v/4e	solver-unknown	-
linear-euf-2/ob04	10	unknown	17937	goal: `linear_euf_2!is_even.?`(I(`a!`)) ==> `linear_euf_2!is_even.?`(I(`b!`)) ==> has_type	z3=6v/0e	lusmt=2v/4e	solver-unknown	-
linear-euf-2/ob05	10	unknown	543	goal: forall `x$`: Poly, `y$`: Poly. has_type(`x$`, INT) and has_type(`y$`, INT) ==> `%I`(	z3=6v/0e	lusmt=2v/4e	solver-unknown	-
linear-euf-2/ob06	10	unsat	7	goal: true	z3=6v/0e	lusmt=2v/4e	verified	-
